===== DPKG PACKAGE INVENTORY =====
7zip	23.01+dfsg-11
libmagickcore-6.q16-7t64:amd64	8:6.9.12.98+dfsg1-5.2build2
libmagickwand-6.q16-7t64:amd64	8:6.9.12.98+dfsg1-5.2build2
libmail-sendmail-perl	0.80-3
libmalcontent-0-0:amd64	0.11.1-1ubuntu1.3
libmanette-0.2-0:amd64	0.2.7-1build2
libmate-desktop-2-17t64:amd64	1.26.2-1.1mint1+zara
libmate-menu2:amd64	1.26.1+mint1
libmate-panel-applet-4-1:amd64	1.27.1-2build3
libmateweather-common	1.26.3-3.1build2
libmateweather1t64:amd64	1.26.3-3.1build2
libmatroska7:amd64	1.7.1-1build1
libmaxminddb0:amd64	1.9.1-1build1
libmbedcrypto7t64:amd64	2.28.8-1
libmbim-glib4:amd64	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmd0:amd64	1.1.0-2build1.1
libmd0:i386	1.1.0-2build1.1
libmd4c0:amd64	0.4.8-1build1
libmetacity3:amd64	1:3.52.0-1build1
libmfx1:amd64	22.5.4-1
libmhash2:amd64	0.9.9.9-9build3
libminiupnpc17:amd64	2.2.6-1build2
libmjpegutils-2.1-0t64:amd64	1:2.1.0+debian-8.1build1
libmm-glib0:amd64	1.23.4-0ubuntu2
libmnl0:amd64	1.0.5-2build1
libmodplug1:amd64	1:0.8.9.0-3build1
libmount1:amd64	2.39.3-9ubuntu6.6
libmount1:i386	2.39.3-9ubuntu6.6
libmousepad0:amd64	0.6.1-1build2
libmozjs-115-0t64:amd64	115.10.0-1
libmp3lame0:amd64	3.100-6build1
libmp3lame0:i386	3.100-6build1
libmpc3:amd64	1.3.1-1build1.1
libmpcdec6:amd64	2:0.1~r495-2build1
libmpeg2-4:amd64	0.5.1-9build1
libmpeg2encpp-2.1-0t64:amd64	1:2.1.0+debian-8.1build1
libmpfr6:amd64	4.2.1-1build1.1
libmpg123-0t64:amd64	1.32.5-1ubuntu1.1
libmpg123-0t64:i386	1.32.5-1ubuntu1.1
libmplex2-2.1-0t64:amd64	1:2.1.0+debian-8.1build1
libmpv2:amd64	0.37.0-1ubuntu4
libmsgraph-0-1:amd64	0.2.1-0ubuntu3
libmspack0t64:amd64	0.11-1.1build1
libmspub-0.1-1:amd64	0.1.4-3build7
libmtdev1t64:amd64	1.1.6-1.1build1
libmtp-common	1.1.21-3.1ubuntu1
libmtp-runtime	1.1.21-3.1ubuntu1
libmtp9t64:amd64	1.1.21-3.1ubuntu1
libmuffin0:amd64	6.6.3+zena
libmujs3:amd64	1.3.3-3build2
libmusicbrainz5-2:amd64	5.1.0+git20150707-10build2
libmusicbrainz5cc2v5:amd64	5.1.0+git20150707-10build2
libmwaw-0.3-3:amd64	0.3.22-1build1
libmysofa1:amd64	1.3.2+dfsg-2ubuntu2
libmysqlclient21:amd64	8.0.46-0ubuntu0.24.04.4
libmythes-1.2-0:amd64	2:1.2.5-1build1
libnatpmp1t64:amd64	20230423-1.2build1
libnautilus-extension4:amd64	1:46.4-0ubuntu0.2
libncurses6:amd64	6.4+20240113-1ubuntu2.2
libncurses6:i386	6.4+20240113-1ubuntu2.2
libncursesw6:amd64	6.4+20240113-1ubuntu2.2
libncursesw6:i386	6.4+20240113-1ubuntu2.2
libndctl6:amd64	77-2ubuntu2
libndp0:amd64	1.8-1fakesync1ubuntu0.24.04.1
libnemo-extension1:amd64	6.6.3+zena
libneon27t64:amd64	0.33.0-1.1build3
libneon27t64-gnutls:amd64	0.33.0-1.1build3
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-libidn-perl	0.12.ds-4build4
libnet-ssleay-perl:amd64	1.94-1build4
libnetfilter-conntrack3:amd64	1.0.9-6build1
libnetplan1:amd64	1.1.2-8ubuntu1~24.04.2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnettle8t64:i386	3.9.1-2.2build1.1
libnewt0.52:amd64	0.52.24-2ubuntu2
libnfnetlink0:amd64	1.0.2-2build1
libnfs14:amd64	5.0.2-1ubuntu0.24.04.1
libnftables1:amd64	1.0.9-1ubuntu0.1
libnftnl11:amd64	1.2.6-2build1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnghttp2-14:i386	1.59.0-1ubuntu0.4
libnice10:amd64	0.1.21-2build3
libnl-3-200:amd64	3.7.0-0.3build1.1
libnl-genl-3-200:amd64	3.7.0-0.3build1.1
libnl-route-3-200:amd64	3.7.0-0.3build1.1
libnm0:amd64	1.46.0-1ubuntu2.8
libnma-common	1.10.6+mint1+wilma
libnma-gtk4-0:amd64	1.10.6+mint1+wilma
libnma0:amd64	1.10.6+mint1+wilma
libnorm1t64:amd64	1.5.9+dfsg-3.1build1
libnotify-bin	0.8.3-1build2
libnotify4:amd64	0.8.3-1build2
libnpth0t64:amd64	1.6-3.1build1
libnspr4:amd64	2:4.35-1.1build1
libnss-mdns:amd64	0.15.1-4build1
libnss-myhostname:amd64	255.4-1ubuntu8.17
libnss-systemd:amd64	255.4-1ubuntu8.17
libnss3:amd64	2:3.98-1ubuntu0.2
libntfs-3g89t64:amd64	1:2022.10.3-1.2ubuntu3.2
libnuma1:amd64	2.0.18-1ubuntu0.24.04.1
libnuma1:i386	2.0.18-1ubuntu0.24.04.1
libnvme1t64	1.8-3ubuntu1
libodbc2:i386	2.3.12-1ubuntu0.24.04.1
libodfgen-0.1-1:amd64	0.1.8-2build3
libogg0:amd64	1.3.5-3build1
libogg0:i386	1.3.5-3build1
libopenal-data	1:1.23.1-4build1
libopenal1:amd64	1:1.23.1-4build1
libopencore-amrnb0:amd64	0.1.6-1build1
libopencore-amrnb0:i386	0.1.6-1build1
libopencore-amrwb0:amd64	0.1.6-1build1
libopencore-amrwb0:i386	0.1.6-1build1
libopenexr-3-1-30:amd64	3.1.5-5.1build3
libopengl0:amd64	1.7.0-1build1
libopenh264-7:amd64	2.4.1+dfsg-1
libopenjp2-7:amd64	2.5.0-2ubuntu0.5
libopenjp2-7:i386	2.5.0-2ubuntu0.5
libopenmpt-modplug1:amd64	0.8.9.0-openmpt1-2build2
libopenmpt0t64:amd64	0.7.3-1.1build3
libopenni2-0:amd64	2.2.0.33+dfsg-18
libopus0:amd64	1.4-1build1
libopus0:i386	1.4-1build1
liborc-0.4-0t64:amd64	1:0.4.38-1ubuntu0.1
liborc-0.4-0t64:i386	1:0.4.38-1ubuntu0.1
liborcus-0.18-0:amd64	0.19.2-3build3
liborcus-parser-0.18-0:amd64	0.19.2-3build3
libosmesa6:i386	25.1.7-1ubuntu2~24.04.2
libostree-1-1:amd64	2024.5-1build2
libp11-kit0:amd64	0.25.3-4ubuntu2.2
libp11-kit0:i386	0.25.3-4ubuntu2.2
libpackagekit-glib2-18:amd64	1.2.8+mint3+wilma
libpagemaker-0.0-0:amd64	0.0.4-1build4
libpam-cap:amd64	1:2.66-5ubuntu2.4
libpam-fingwit	1.0.8+zena
libpam-fprintd:amd64	1.94.3-1
libpam-gnome-keyring:amd64	46.1-2ubuntu0.2
libpam-modules:amd64	1.5.3-5ubuntu5.7
libpam-modules-bin	1.5.3-5ubuntu5.7
libpam-runtime	1.5.3-5ubuntu5.7
libpam-systemd:amd64	255.4-1ubuntu8.17
libpam0g:amd64	1.5.3-5ubuntu5.7
libpango-1.0-0:amd64	1.52.1+ds-1build1
libpango-1.0-0:i386	1.52.1+ds-1build1
libpangocairo-1.0-0:amd64	1.52.1+ds-1build1
libpangocairo-1.0-0:i386	1.52.1+ds-1build1
libpangoft2-1.0-0:amd64	1.52.1+ds-1build1
libpangoft2-1.0-0:i386	1.52.1+ds-1build1
libpangomm-1.4-1v5:amd64	2.46.4-1build3
libpangomm-2.48-1t64:amd64	2.52.0-1build1
libpangoxft-1.0-0:amd64	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1:amd64	1.1.29build1
libparted2t64:amd64	3.6-4build1
libpcap0.8t64:amd64	1.10.4-4.1ubuntu3
libpcap0.8t64:i386	1.10.4-4.1ubuntu3
libpcaudio0:amd64	1.2-2build3
libpci3:amd64	1:3.10.0-2build1
libpciaccess0:amd64	0.17-3ubuntu0.24.04.2
libpciaccess0:i386	0.17-3ubuntu0.24.04.2
libpcre2-16-0:amd64	10.42-4ubuntu2.1
libpcre2-32-0:amd64	10.42-4ubuntu2.1
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libpcre2-8-0:i386	10.42-4ubuntu2.1
libpcsclite1:amd64	2.0.3-1build1
libpcsclite1:i386	2.0.3-1build1
libpeas-1.0-0:amd64	1.36.0-3build4
libpeas-common	1.36.0-3build4
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.4
libperlio-gzip-perl	0.20-1build4
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build1
libphonenumber8:amd64	8.12.57+ds-4.2build3
libpipeline1:amd64	1.5.7-2
libpipewire-0.3-0t64:amd64	1.0.5-1ubuntu3.3
libpipewire-0.3-modules:amd64	1.0.5-1ubuntu3.3
libpipewire-0.3-modules-xrdp:amd64	0.2-2
libpixman-1-0:amd64	0.42.2-1build1
libpixman-1-0:i386	0.42.2-1build1
libpkcs11-helper1t64:amd64	1.29.0-2.1build2
libpkgconf3:amd64	1.8.1-2build1
libplacebo338:amd64	6.338.2-2build1
libplist-2.0-4:amd64	2.3.0-1~exp2build2
libplymouth5:amd64	24.004.60-1ubuntu7.2
libpmem1:amd64	1.13.1-1.1ubuntu2
libpmemobj1:amd64	1.13.1-1.1ubuntu2
libpng16-16t64:amd64	1.6.43-5ubuntu0.6
libpng16-16t64:i386	1.6.43-5ubuntu0.6
libpocketsphinx3:amd64	0.8.0+real5prealpha+1-15ubuntu5
libpolkit-agent-1-0:amd64	124-2ubuntu1.24.04.3
libpolkit-gobject-1-0:amd64	124-2ubuntu1.24.04.3
libpoppler-cpp0t64:amd64	24.02.0-1ubuntu9.9
libpoppler-glib8t64:amd64	24.02.0-1ubuntu9.9
libpoppler134:amd64	24.02.0-1ubuntu9.9
libpopt0:amd64	1.19+dfsg-1build1
libportaudio2:amd64	19.6.0-1.2build3
libpostproc57:amd64	7:6.1.1-3ubuntu5
libppd2:amd64	2:2.0.0-0ubuntu4.1
libppd2-common	2:2.0.0-0ubuntu4.1
libpq5:amd64	16.15-0ubuntu0.24.04.1
libproc2-0:amd64	2:4.0.4-4ubuntu3.3
libprotobuf-c1:amd64	1.4.1-1ubuntu4
libprotobuf-lite32t64:amd64	3.21.12-8.2ubuntu0.3
libprotobuf32t64:amd64	3.21.12-8.2ubuntu0.3
libproxy-tools	0.5.4-4build1
libproxy1-plugin-gsettings:amd64	0.5.4-4build1
libproxy1-plugin-networkmanager:amd64	0.5.4-4build1
libproxy1v5:amd64	0.5.4-4build1
libproxy1v5:i386	0.5.4-4build1
libpsl5t64:amd64	0.21.2-1.1build1
libpsl5t64:i386	0.21.2-1.1build1
libpugixml1v5:amd64	1.14-0.1build1
libpulse-mainloop-glib0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpulse0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpulse0:i386	1:16.1+dfsg1-2ubuntu10.1
libpwquality-common	1.4.5-3build1
libpwquality1:amd64	1.4.5-3build1
libpython3-dev:amd64	3.12.3-0ubuntu2.1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-dev:amd64	3.12.3-1ubuntu0.16
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.16
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.16
libpython3.12t64:amd64	3.12.3-1ubuntu0.16
libqmi-glib5:amd64	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqpdf29t64:amd64	11.9.0-1.1ubuntu0.1
libqrencode4:amd64	4.1.1-1build2
libqrtr-glib0:amd64	1.2.2-1ubuntu4
libqt5core5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5gui5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5network5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5svg5:amd64	5.15.13-1
libqt5widgets5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5x11extras5:amd64	5.15.13-1
libquadmath0:amd64	14.2.0-4ubuntu2~24.04.1
librabbitmq4:amd64	0.11.0-1ubuntu0.2
librados2	19.2.3-0ubuntu0.24.04.3
libraptor2-0:amd64	2.0.16-3ubuntu0.1
libraqm0:amd64	0.10.1-1build1
librasqal3t64:amd64	0.9.33-2.1build1
librav1e0:amd64	0.7.1-2
libraw1394-11:amd64	2.1.2-2build3
libraw1394-11:i386	2.1.2-2build3
libraw23t64:amd64	0.21.2-2.1ubuntu0.24.04.2
librbd1	19.2.3-0ubuntu0.24.04.3
librda-common	0.0.5-1.1build2
librda0:amd64	0.0.5-1.1build2
librdf0t64:amd64	1.0.17-3.1ubuntu3
librdmacm1t64:amd64	50.0-2ubuntu0.2
libreadline8t64:amd64	8.2-4build1
libreiserfscore0t64	1:3.6.27-7.1build1
libreoffice	4:24.2.7-0ubuntu0.24.04.6
libreoffice-base	4:24.2.7-0ubuntu0.24.04.6
libreoffice-base-core	4:24.2.7-0ubuntu0.24.04.6
libreoffice-base-drivers	4:24.2.7-0ubuntu0.24.04.6
libreoffice-calc	4:24.2.7-0ubuntu0.24.04.6
libreoffice-common	4:24.2.7-0ubuntu0.24.04.6
libreoffice-core	4:24.2.7-0ubuntu0.24.04.6
libreoffice-draw	4:24.2.7-0ubuntu0.24.04.6
libreoffice-gnome	4:24.2.7-0ubuntu0.24.04.6
libreoffice-gtk3	4:24.2.7-0ubuntu0.24.04.6
libreoffice-help-common	4:24.2.7-0ubuntu0.24.04.6
libreoffice-help-en-us	4:24.2.7-0ubuntu0.24.04.6
libreoffice-impress	4:24.2.7-0ubuntu0.24.04.6
libreoffice-java-common	4:24.2.7-0ubuntu0.24.04.6
libreoffice-math	4:24.2.7-0ubuntu0.24.04.6
libreoffice-nlpsolver	4:0.9+LibO24.2.7-0ubuntu0.24.04.6
libreoffice-report-builder	4:24.2.7-0ubuntu0.24.04.6
libreoffice-report-builder-bin	4:24.2.7-0ubuntu0.24.04.6
libreoffice-script-provider-bsh	4:24.2.7-0ubuntu0.24.04.6
libreoffice-script-provider-js	4:24.2.7-0ubuntu0.24.04.6
libreoffice-script-provider-python	4:24.2.7-0ubuntu0.24.04.6
libreoffice-sdbc-firebird	4:24.2.7-0ubuntu0.24.04.6
libreoffice-sdbc-hsqldb	4:24.2.7-0ubuntu0.24.04.6
libreoffice-sdbc-mysql	4:24.2.7-0ubuntu0.24.04.6
libreoffice-sdbc-postgresql	4:24.2.7-0ubuntu0.24.04.6
libreoffice-style-colibre	4:24.2.7-0ubuntu0.24.04.6
libreoffice-uiconfig-base	4:24.2.7-0ubuntu0.24.04.6
libreoffice-uiconfig-calc	4:24.2.7-0ubuntu0.24.04.6
libreoffice-uiconfig-common	4:24.2.7-0ubuntu0.24.04.6
libreoffice-uiconfig-draw	4:24.2.7-0ubuntu0.24.04.6
libreoffice-uiconfig-impress	4:24.2.7-0ubuntu0.24.04.6
libreoffice-uiconfig-math	4:24.2.7-0ubuntu0.24.04.6
libreoffice-uiconfig-report-builder	4:24.2.7-0ubuntu0.24.04.6
libreoffice-uiconfig-writer	4:24.2.7-0ubuntu0.24.04.6
libreoffice-wiki-publisher	4:1.2.0+LibO24.2.7-0ubuntu0.24.04.6
libreoffice-writer	4:24.2.7-0ubuntu0.24.04.6
libresid-builder0c2a	2.1.1-15ubuntu3
librest-1.0-0:amd64	0.9.1-6build3
librevenge-0.0-0:amd64	0.0.5-3build1
librhythmbox-core10:amd64	3.4.7-2ubuntu6
librist4:amd64	0.2.10+dfsg-2
libroc0.3:amd64	0.3.0+dfsg-7ubuntu2
librsvg2-2:amd64	2.58.0+dfsg-1build1
librsvg2-2:i386	2.58.0+dfsg-1build1
librsvg2-common:amd64	2.58.0+dfsg-1build1
librsvg2-common:i386	2.58.0+dfsg-1build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
librtmp1:i386	2.4+20151223.gitfa8646d.1-2build7
librubberband2:amd64	3.3.0+dfsg-2build1
libsamplerate0:amd64	0.2.2-4build1
libsamplerate0:i386	0.2.2-4build1
libsane-common	1.2.1-7build4
libsane-hpaio:amd64	3.23.12+dfsg0-0ubuntu5.1
libsane1:amd64	1.2.1-7build4
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-2:i386	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules:i386	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:i386	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-gssapi-mit:amd64	2.1.28+dfsg1-5ubuntu3.1
libsbc1:amd64	2.0-1build1
libsdl2-2.0-0:amd64	2.30.0+dfsg-1ubuntu3.1
libsdl2-2.0-0:i386	2.30.0+dfsg-1ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libsecret-1-0:amd64	0.21.4-1build3
libsecret-common	0.21.4-1build3
libselinux1:amd64	3.5-2ubuntu2.1
libselinux1:i386	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsensors5:i386	1:3.6.0-9build1
libsepol2:amd64	3.5-2build1
libserd-0-0:amd64	0.32.2-1
libservlet-api-java	4.0.1-2
libservlet3.1-java	1:4.0.1-2
libsframe1:amd64	2.42-4ubuntu2.10
libsgutils2-1.46-2:amd64	1.46-3ubuntu4
libsharpyuv0:amd64	1.3.2-0.4build3
libsharpyuv0:i386	1.3.2-0.4build3
libshine3:amd64	3.1.1-2build1
libshine3:i386	3.1.1-2build1
libshout3:amd64	2.4.6-1build2
libshout3:i386	2.4.6-1build2
libsidplay1v5:amd64	1.36.60-1build1
libsidplay2	2.1.1-15ubuntu3
libsigc++-2.0-0v5:amd64	2.12.1-2
libsigc++-3.0-0:amd64	3.6.0-2
libsixel1:amd64	1.10.3-3build1
libslang2:amd64	2.3.3-3build2
libslang2:i386	2.3.3-3build2
libslirp0:amd64	4.7.0-1ubuntu3.1
libsm6:amd64	2:1.2.3-1build3
libsmartcols1:amd64	2.39.3-9ubuntu6.6
libsmbclient0:amd64	2:4.19.5+dfsg-4ubuntu9.7
libsnapd-glib-2-1:amd64	1.64-0ubuntu5
libsnappy1v5:amd64	1.1.10-1build1
libsnappy1v5:i386	1.1.10-1build1
libsndfile1:amd64	1.2.2-1ubuntu5.24.04.1
libsndfile1:i386	1.2.2-1ubuntu5.24.04.1
libsndio7.0:amd64	1.9.0-0.3build3
libsnmp-base	5.9.4+dfsg-1.1ubuntu3.2
libsnmp40t64:amd64	5.9.4+dfsg-1.1ubuntu3.2
libsodium23:amd64	1.0.18-1ubuntu0.24.04.1
libsonic0:amd64	0.2.0-13build1
libsord-0-0:amd64	0.16.16-2build1
libsoundtouch1:amd64	2.3.2+ds1-1build1
libsoup-2.4-1:amd64	2.74.3-6ubuntu1.7
libsoup-3.0-0:amd64	3.4.4-5ubuntu0.7
libsoup-3.0-0:i386	3.4.4-5ubuntu0.7
libsoup-3.0-common	3.4.4-5ubuntu0.7
libsoup-gnome-2.4-1:amd64	2.74.3-6ubuntu1.7
libsoup2.4-common	2.74.3-6ubuntu1.7
libsource-highlight-common	3.1.9-4.3build1
libsource-highlight4t64:amd64	3.1.9-4.3build1
libsoxr0:amd64	0.1.3-4build3
libsoxr0:i386	0.1.3-4build3
libspa-0.2-bluetooth:amd64	1.0.5-1ubuntu3.3
libspa-0.2-modules:amd64	1.0.5-1ubuntu3.3
libspandsp2t64:amd64	0.0.6+dfsg-2.1build1
libspatialaudio0t64:amd64	0.3.0+git20180730+dfsg1-2.1build1
libspectre1:amd64	0.2.12-1build2
libspeechd2:amd64	0.12.0~rc2-2build3
libspeex1:amd64	1.2.1-2ubuntu2.24.04.1
libspeex1:i386	1.2.1-2ubuntu2.24.04.1
libspeexdsp1:amd64	1.2.1-1ubuntu3
libspeexdsp1:i386	1.2.1-1ubuntu3
libsphinxbase3t64:amd64	0.8+5prealpha+1-17build2
libspice-server1:amd64	0.15.1-1build2
libsqlite3-0:amd64	3.45.1-1ubuntu2.7
libsqlite3-0:i386	3.45.1-1ubuntu2.7
libsratom-0-0:amd64	0.6.16-1build1
libsrt1.5-gnutls:amd64	1.5.3-1build2
libsrtp2-1:amd64	2.5.0-3build1
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.5
libssh-4:i386	0.10.6-2ubuntu0.5
libssh-gcrypt-4:amd64	0.10.6-2ubuntu0.5
libssh2-1t64:amd64	1.11.0-4.1ubuntu0.24.04.4
libssl-dev:amd64	3.0.13-0ubuntu3.15
libssl3t64:amd64	3.0.13-0ubuntu3.15
libssl3t64:i386	3.0.13-0ubuntu3.15
libstartup-notification0:amd64	0.12-6build3
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libstdc++6:i386	14.2.0-4ubuntu2~24.04.1
libstemmer0d:amd64	2.2.0-4build1
libsub-override-perl	0.10-1
libsubid4:amd64	1:4.13+dfsg1-4ubuntu3.2
libsuitesparseconfig7:amd64	1:7.6.1+dfsg-1build1
libsvtav1enc1d1:amd64	1.7.0+dfsg-2build1
libsvtav1enc1d1:i386	1.7.0+dfsg-2build1
libswresample4:amd64	7:6.1.1-3ubuntu5
libswresample4:i386	7:6.1.1-3ubuntu5
libswscale7:amd64	7:6.1.1-3ubuntu5
libsynctex2:amd64	2023.20230311.66589-9build3
libsys-hostname-long-perl	1.5-3
libsystemd-shared:amd64	255.4-1ubuntu8.17
libsystemd0:amd64	255.4-1ubuntu8.17
libsystemd0:i386	255.4-1ubuntu8.17
libtag1v5:amd64	1.13.1-1build1
libtag1v5:i386	1.13.1-1build1
libtag1v5-vanilla:amd64	1.13.1-1build1
libtag1v5-vanilla:i386	1.13.1-1build1
libtagc0:amd64	1.13.1-1build1
libtalloc2:amd64	2.4.2-1build2
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2
libtasn1-6:i386	4.19.0-3ubuntu0.24.04.2
libtcl8.6:amd64	8.6.14+dfsg-1build1
libtcmalloc-minimal4t64:amd64	2.15-3build1
libtdb1:amd64	1.4.10-1build1
libteamdctl0:amd64	1.31-1build3
libtevent0t64:amd64	0.16.1-2build1
libtext-charwidth-perl:amd64	0.04-11build3
libtext-iconv-perl:amd64	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0:amd64	0.1.29-2build1
libthai0:i386	0.1.29-2build1
libtheora0:amd64	1.1.1+dfsg.1-16.1build3
libtheora0:i386	1.1.1+dfsg.1-16.1build3
libthunarx-3-0:amd64	4.18.8+mint1
libtie-ixhash-perl	1.23-4
libtiff6:amd64	4.5.1+git230720-4ubuntu2.5
libtiff6:i386	4.5.1+git230720-4ubuntu2.5
libtimedate-perl	2.3300-2
libtimezonemap-data	0.4.6-6ubuntu1
libtimezonemap1:amd64	0.4.6-6ubuntu1
libtinfo6:amd64	6.4+20240113-1ubuntu2.2
libtinfo6:i386	6.4+20240113-1ubuntu2.2
libtirpc-common	1.3.4+ds-1.1build1
libtirpc3t64:amd64	1.3.4+ds-1.1build1
libtommath1:amd64	1.2.1-2build1
libtool	2.4.7-7build1
libtotem-plparser-common	3.26.6-1build5
libtotem-plparser18:amd64	3.26.6-1build5
libtraceevent1:amd64	1:1.8.2-1ubuntu2.1
libtry-tiny-perl	0.31-2
libtsan2:amd64	14.2.0-4ubuntu2~24.04.1
libtspi1	0.3.15-0.3build2
libtss2-esys-3.0.2-0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-mu-4.0.1-0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-sys1t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-cmd0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-device0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-mssim0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-swtpm0t64:amd64	4.0.1-7.1ubuntu5.1
libtumbler-1-0t64:amd64	4.18.1-1.1build4
libturbojpeg:amd64	1:2.1.5-2ubuntu2
libtwolame0:amd64	0.4.0-2build3
libtwolame0:i386	0.4.0-2build3
libubsan1:amd64	14.2.0-4ubuntu2~24.04.1
libuchardet0:amd64	0.0.8-1build1
libudev1:amd64	255.4-1ubuntu8.17
libudev1:i386	255.4-1ubuntu8.17
libudfread0:amd64	1.1.2-1build1
libudisks2-0:amd64	2.10.1-6ubuntu1.5
libunibreak5:amd64	5.1-2build1
libunistring5:amd64	1.1-2build1.1
libunistring5:i386	1.1-2build1.1
libuno-cppu3t64	4:24.2.7-0ubuntu0.24.04.6
libuno-cppuhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.6
libuno-purpenvhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.6
libuno-sal3t64	4:24.2.7-0ubuntu0.24.04.6
libuno-salhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.6
libunoloader-java	4:24.2.7-0ubuntu0.24.04.6
libunshield0:amd64	1.5.1-1
libunwind8:amd64	1.6.2-3build1.1
libunwind8:i386	1.6.2-3build1.1
libupnp17t64:amd64	1:1.14.18-1.1ubuntu2
libupower-glib3:amd64	1.90.3-1
liburcu8t64:amd64	0.14.0-3.1build1
liburi-perl	5.27-1
liburing2:amd64	2.5-1build1
libusb-1.0-0:amd64	2:1.0.27-1
libusb-1.0-0:i386	2:1.0.27-1
libusbmuxd6:amd64	2.0.2-4build3
libusbredirparser1t64:amd64	0.13.0-2.1build1
libutempter0:amd64	1.2.1-3build1
libuuid1:amd64	2.39.3-9ubuntu6.6
libuv1t64:amd64	1.48.0-1.1build1
libv4l-0t64:amd64	1.26.1-4build3
libv4l-0t64:i386	1.26.1-4build3
libv4lconvert0t64:amd64	1.26.1-4build3
libv4lconvert0t64:i386	1.26.1-4build3
libva-drm2:amd64	2.20.0-2ubuntu0.2
libva-drm2:i386	2.20.0-2ubuntu0.2
libva-wayland2:amd64	2.20.0-2ubuntu0.2
libva-x11-2:amd64	2.20.0-2ubuntu0.2
libva-x11-2:i386	2.20.0-2ubuntu0.2
libva2:amd64	2.20.0-2ubuntu0.2
libva2:i386	2.20.0-2ubuntu0.2
libvdpau1:amd64	1.5-2build1
libvdpau1:i386	1.5-2build1
libvidstab1.1:amd64	1.1.0-2build1
libvirglrenderer1:amd64	1.0.0-1ubuntu2
libvisio-0.1-1:amd64	0.1.7-1build9
libvisual-0.4-0:amd64	0.4.2-2build1
libvisual-0.4-0:i386	0.4.2-2build1
libvisual-0.4-plugins:amd64	1:0.4.2+dfsg-2build3
libvlc-bin:amd64	3.0.20-3build6
libvlc5:amd64	3.0.20-3build6
libvlccore9:amd64	3.0.20-3build6
libvncclient1:amd64	0.9.14+dfsg-1ubuntu0.2
libvo-aacenc0:amd64	0.1.3-2build1
libvo-amrwbenc0:amd64	0.1.3-2build1
libvo-amrwbenc0:i386	0.1.3-2build1
libvolume-key1:amd64	0.3.12-7build2
libvorbis0a:amd64	1.3.7-1build3
libvorbis0a:i386	1.3.7-1build3
libvorbisenc2:amd64	1.3.7-1build3
libvorbisenc2:i386	1.3.7-1build3
libvorbisfile3:amd64	1.3.7-1build3
libvpl2	2023.3.0-1build1
libvpx9:amd64	1.14.0-1ubuntu2.3
